date,open,high,low,close,volume
2023-06-20,181.86,183.53,181.86,182.45,49799100
2023-06-21,182.34,182.85,180.07,181.42,49515700
2023-06-22,181.20,184.46,181.13,184.41,51245300
2023-06-23,182.98,184.97,182.45,184.10,53117000
2023-06-26,184.25,185.45,182.67,182.71,48088700
2023-06-27,183.32,185.79,183.10,185.46,50730800
2023-06-28,185.33,187.27,185.01,186.63,51216800
2023-06-29,186.47,187.44,186.33,186.97,46347300
2023-06-30,188.98,191.79,188.62,191.29,85213200
2023-07-03,191.10,191.20,189.11,189.80,31458200
2023-07-05,188.92,190.31,187.98,188.68,46920300
2023-07-06,187.22,189.37,186.58,189.16,45094300
2023-07-07,188.76,190.01,187.61,188.04,46815000
2023-07-10,186.64,187.36,184.45,186.00,59922200
2023-07-11,186.54,186.68,184.02,185.48,46638100
2023-07-12,187.06,189.05,185.86,187.15,60750200
2023-07-13,187.87,188.55,187.16,187.91,41342300
2023-07-14,187.60,188.54,187.01,188.05,41616200
2023-07-17,189.25,191.63,189.16,191.31,50520200
2023-07-18,190.68,191.64,189.76,191.05,48288200
2023-07-19,190.43,195.49,189.99,192.40,80507300
2023-07-20,192.39,193.75,189.84,190.46,59581200
2023-07-21,191.42,192.27,188.59,189.29,71951700
2023-07-24,190.74,192.22,189.59,190.09,45377800
2023-07-25,190.66,191.75,190.25,190.94,37283200
2023-07-26,190.99,192.94,190.65,191.81,47471900
2023-07-27,193.31,194.47,189.89,190.55,47460200
2023-07-28,191.98,193.91,191.46,193.12,48291400
2023-07-31,193.35,193.77,192.56,193.73,38824100
2023-08-01,193.53,194.01,192.58,192.91,35175100
2023-08-02,192.34,192.48,189.20,189.92,50389300
2023-08-03,188.92,189.71,188.05,188.53,61235200
2023-08-04,182.96,184.79,179.40,179.47,115956800
2023-08-07,179.61,180.60,174.90,176.38,97576100
2023-08-08,177.21,177.78,175.12,177.31,67823000
2023-08-09,178.37,178.43,174.56,175.73,60378500
2023-08-10,177.00,178.25,175.14,175.51,54686900
2023-08-11,175.10,176.39,174.34,175.57,52036700
2023-08-14,175.75,177.45,175.09,177.22,43675600
2023-08-15,176.65,177.24,174.84,175.23,43622600
2023-08-16,174.92,176.31,174.29,174.36,46964900
2023-08-17,174.93,175.29,171.31,171.83,66062900
2023-08-18,170.15,172.91,169.81,172.31,61172200
2023-08-21,172.88,173.93,171.57,173.64,46311900
2023-08-22,174.85,175.46,174.05,175.02,42038900
2023-08-23,176.29,179.28,176.10,178.86,52722800
2023-08-24,178.41,178.84,173.81,174.18,54945800
2023-08-25,175.16,176.91,173.62,176.38,51449600
2023-08-28,177.84,178.33,176.32,177.94,43820700
2023-08-29,177.45,182.59,177.26,181.82,53003900
2023-08-30,182.63,185.50,182.43,185.31,60813900
2023-08-31,185.49,186.76,185.14,185.52,60794500
2023-09-01,187.12,187.55,185.93,187.09,45766500
2023-09-05,185.93,187.61,185.27,187.33,45280000
2023-09-06,186.05,186.49,179.20,180.62,81755800
2023-09-07,172.99,175.98,171.37,175.34,112488800
2023-09-08,176.12,177.99,175.57,175.95,65551300
2023-09-11,177.82,178.05,175.12,177.12,58953100
2023-09-12,177.25,177.88,172.64,174.10,90370200
2023-09-13,174.30,175.08,171.81,172.03,84267900
2023-09-14,171.83,173.90,171.41,173.54,60895800
2023-09-15,174.28,174.29,171.65,172.82,109259500
2023-09-18,174.28,177.14,173.97,175.75,67257600
2023-09-19,175.30,177.39,174.92,176.83,51826900
2023-09-20,177.02,177.45,173.21,173.30,58436200
2023-09-21,172.37,174.10,171.69,171.76,63149100
2023-09-22,172.49,174.87,171.88,172.61,56725400
2023-09-25,172.02,174.76,171.97,173.88,46172700
2023-09-26,172.64,173.01,169.52,169.81,64588900
2023-09-27,170.46,170.88,166.94,168.30,66921800
2023-09-28,167.22,169.88,165.53,168.56,56294400
2023-09-29,169.87,170.91,168.21,169.07,51861100
2023-10-02,169.08,172.12,168.79,171.58,52164500
2023-10-03,170.11,171.46,168.69,170.25,49594600
2023-10-04,168.95,172.03,168.83,171.49,53020300
2023-10-05,171.62,173.26,170.52,172.72,48527900
2023-10-06,171.63,175.77,171.02,175.27,57266700
2023-10-09,174.60,176.81,173.60,176.75,42390800
2023-10-10,175.87,177.47,175.73,176.16,43698000
2023-10-11,175.97,177.60,175.38,177.55,47551100
2023-10-12,177.82,180.06,176.80,178.45,56743100
2023-10-13,179.15,179.66,175.91,176.62,51427100
2023-10-16,174.54,176.84,174.30,176.49,52517000
2023-10-17,174.44,176.19,172.62,174.94,57549400
2023-10-18,173.39,175.36,172.92,173.64,54764400
2023-10-19,173.84,175.62,173.00,173.27,59302900
2023-10-20,173.12,173.23,170.48,170.72,64244000
2023-10-23,168.77,171.84,167.81,170.84,55980100
2023-10-24,170.89,171.50,169.31,171.27,43816600
2023-10-25,169.73,170.90,168.52,168.96,57157000
2023-10-26,168.24,169.24,163.60,164.80,70625300
2023-10-27,164.82,166.85,164.75,166.12,58499100
2023-10-30,166.91,169.03,166.76,168.16,51131000
2023-10-31,167.23,168.76,165.80,168.64,44846000
2023-11-01,168.86,172.05,167.99,171.80,56934900
2023-11-02,173.33,175.56,173.27,175.35,77334800
2023-11-03,172.06,174.61,171.18,174.44,79829200
2023-11-06,174.18,177.19,174.01,176.99,63841300
2023-11-07,176.94,180.16,176.73,179.55,70530000
2023-11-08,180.07,181.16,179.32,180.61,49340300
2023-11-09,180.67,181.82,179.54,180.13,53763500
2023-11-10,181.91,184.48,181.48,184.31,66133400
2023-11-13,183.74,183.95,182.15,182.73,43627500
2023-11-14,185.60,186.00,184.21,185.34,60108400
2023-11-15,185.75,187.38,185.68,185.91,53790500
2023-11-16,187.45,188.82,186.54,187.59,54412900
2023-11-17,188.12,188.25,186.46,187.57,50922700
2023-11-20,187.76,189.76,187.75,189.31,46505100
2023-11-21,189.27,189.38,187.62,188.51,38134500
2023-11-22,189.35,190.77,188.69,189.17,39617700
2023-11-24,188.73,188.76,187.13,187.84,24048300
2023-11-27,187.79,188.54,186.79,187.67,40552600
2023-11-28,187.66,188.94,187.28,188.27,38415400
2023-11-29,188.76,189.94,186.85,187.25,43014200
2023-11-30,187.72,188.19,186.08,187.82,48794400
2023-12-01,188.20,189.42,187.11,189.10,45704800
2023-12-04,187.85,187.92,185.35,187.31,43389500
2023-12-05,188.08,192.22,188.05,191.26,66628400
2023-12-06,192.27,192.58,189.96,190.17,41089700
2023-12-07,191.46,192.82,191.42,192.10,47477700
2023-12-08,192.03,193.80,191.50,193.52,53406400
2023-12-11,190.95,191.32,189.28,191.02,60943700
2023-12-12,190.92,192.54,189.57,192.53,52696900
2023-12-13,192.91,195.78,192.67,195.74,70404200
2023-12-14,195.80,197.39,193.96,195.89,66831600
2023-12-15,195.32,196.18,194.80,195.36,128538400
2023-12-18,193.90,194.43,192.21,193.70,55751900
2023-12-19,193.96,194.75,193.70,194.74,40714100
2023-12-20,194.70,195.47,192.65,192.65,52242800
2023-12-21,193.91,194.87,191.33,192.50,46482500
2023-12-22,193.00,193.22,190.81,191.43,37149600
2023-12-26,191.44,191.72,190.67,190.89,28919300
2023-12-27,190.34,191.33,188.95,190.99,48087700
2023-12-28,191.97,192.48,191.01,191.41,34049900
2023-12-29,191.73,192.22,189.58,190.38,42672100
2024-01-02,185.06,186.33,181.83,183.56,82488700
2024-01-03,182.16,183.80,181.38,182.19,58414500
2024-01-04,180.11,181.04,178.86,179.87,71983600
2024-01-05,179.95,180.71,178.15,179.15,62379700
2024-01-08,180.05,183.52,179.47,183.48,59144500
2024-01-09,181.86,183.08,180.68,183.07,42841800
2024-01-10,182.29,184.31,181.86,184.11,46792900
2024-01-11,184.45,184.96,181.56,183.51,49128400
2024-01-12,183.98,184.65,183.12,183.84,40477800
2024-01-16,180.12,182.20,178.90,181.57,65603000
2024-01-17,179.24,180.88,178.28,180.64,47317400
2024-01-18,184.01,187.02,183.75,186.52,78005800
2024-01-19,187.21,189.80,186.71,189.42,68903000
2024-01-22,190.15,193.14,190.11,191.72,60133900
2024-01-23,192.84,193.56,191.66,193.00,42355600
2024-01-24,193.23,194.18,192.16,192.32,53631300
2024-01-25,193.03,194.07,190.95,192.00,54822100
2024-01-26,192.10,192.58,189.79,190.27,44594000
2024-01-29,189.86,190.05,187.46,189.58,47145600
2024-01-30,188.80,189.65,185.37,185.94,55859400
2024-01-31,184.95,185.01,182.29,182.34,55467800
2024-02-01,181.93,184.86,181.76,184.77,64885400
2024-02-02,177.85,185.23,177.24,183.77,102551700
2024-02-05,186.04,187.13,183.76,185.58,69668800
2024-02-06,184.77,187.19,184.68,187.18,43490800
2024-02-07,188.51,188.91,186.50,187.29,53439000
2024-02-08,187.27,187.42,185.25,186.21,40962000
2024-02-09,186.78,188.10,186.13,186.97,45155200
2024-02-12,186.55,186.80,184.94,185.29,41781900
2024-02-13,183.93,184.36,181.69,183.20,56529500
2024-02-14,183.48,183.69,180.63,182.32,54630500
2024-02-15,181.73,182.66,179.55,182.03,65434500
2024-02-16,181.60,183.01,179.87,180.50,49752500
2024-02-20,179.98,180.62,178.21,179.76,53665600
2024-02-21,180.13,181.07,178.87,180.51,41371400
2024-02-22,181.66,183.12,180.65,182.54,52292200
2024-02-23,183.17,183.20,180.42,180.71,45119700
2024-02-26,180.43,180.95,178.86,179.36,40867400
2024-02-27,179.30,182.09,177.78,180.82,54318900
