date,open,high,low,close,volume
2023-06-20,331.47,334.17,328.10,330.24,26375400
2023-06-21,328.60,329.92,324.39,325.85,25117800
2023-06-22,326.40,332.26,325.64,331.86,23556800
2023-06-23,326.63,330.15,325.74,327.28,23146900
2023-06-26,326.01,328.34,320.90,321.00,21520600
2023-06-27,324.19,328.38,321.69,326.84,24354100
2023-06-28,326.92,330.17,326.09,328.09,20259500
2023-06-29,326.97,328.34,324.93,327.31,16997000
2023-06-30,329.94,334.81,329.41,332.67,26832800
2023-07-03,331.35,333.02,328.79,330.18,12508700
2023-07-05,327.34,333.75,326.99,330.33,18172400
2023-07-06,329.50,335.06,327.75,333.38,28161200
2023-07-07,331.48,333.89,329.21,329.43,21214800
2023-07-10,326.87,327.48,320.02,324.16,32791400
2023-07-11,323.41,325.17,319.44,324.79,26698200
2023-07-12,328.82,333.75,327.91,329.41,29995300
2023-07-13,331.71,335.79,331.18,334.74,20567200
2023-07-14,339.56,343.31,336.35,337.26,28352700
2023-07-17,337.69,338.97,334.29,337.74,20363900
2023-07-18,337.84,358.30,334.26,351.18,64738600
2023-07-19,353.39,354.08,344.29,346.87,39732900
2023-07-20,345.40,349.70,337.39,338.85,33778400
2023-07-21,341.08,342.20,331.98,335.82,69405400
2023-07-24,337.86,338.90,334.40,337.13,26678100
2023-07-25,339.09,343.76,337.09,342.87,41637700
2023-07-26,333.55,336.70,325.41,329.96,58383700
2023-07-27,332.61,333.44,321.44,323.08,39635300
2023-07-28,325.96,332.15,325.47,330.55,28484900
2023-07-31,329.13,329.89,325.65,328.16,25446000
2023-08-01,327.44,330.71,325.99,328.57,18311900
2023-08-02,325.92,325.92,318.82,319.93,27761300
2023-08-03,318.46,322.26,318.42,319.11,18253700
2023-08-04,324.21,327.39,319.68,320.20,23741500
2023-08-07,320.78,323.46,319.95,322.48,17741500
2023-08-08,319.40,321.15,315.53,318.51,22327600
2023-08-09,318.92,319.55,313.63,314.78,22373300
2023-08-10,318.48,320.67,313.76,315.47,20113700
2023-08-11,312.86,314.96,311.83,313.59,24355500
2023-08-14,313.96,316.57,312.68,316.55,18836100
2023-08-15,315.53,317.58,313.48,314.42,16966300
2023-08-16,314.05,317.59,313.07,313.66,20698900
2023-08-17,313.79,315.10,309.55,310.21,21257200
2023-08-18,307.87,311.68,304.99,309.82,24755000
2023-08-21,311.24,315.98,310.37,315.11,24040000
2023-08-22,318.65,319.22,314.69,315.67,16084600
2023-08-23,317.00,322.27,316.65,320.12,21166400
2023-08-24,325.84,325.97,313.23,313.24,23281400
2023-08-25,314.70,318.51,312.09,316.18,21684100
2023-08-28,318.81,319.29,314.95,316.89,14808500
2023-08-29,315.11,322.06,315.11,321.50,19284600
2023-08-30,321.75,322.87,319.58,321.87,15222100
2023-08-31,322.27,323.95,319.90,320.86,26411000
2023-09-01,324.34,325.00,319.90,321.74,14942000
2023-09-05,322.08,327.80,321.74,326.53,18553900
2023-09-06,326.36,327.42,323.23,325.87,17535800
2023-09-07,324.32,326.07,322.11,322.97,18381000
2023-09-08,323.14,329.09,322.53,327.23,19530100
2023-09-11,330.14,331.30,328.37,330.83,16583300
2023-09-12,328.75,329.70,324.50,324.79,17565500
2023-09-13,324.34,329.76,324.20,328.99,16544400
2023-09-14,332.01,333.69,329.49,331.57,20267000
2023-09-15,329.83,330.30,322.71,323.27,37679800
2023-09-18,320.90,323.45,319.49,322.13,16834200
2023-09-19,319.31,322.46,317.68,321.73,16505900
2023-09-20,322.58,322.65,313.76,314.02,21436500
2023-09-21,312.54,318.50,308.37,312.81,35560400
2023-09-22,314.56,314.68,309.50,310.34,21447900
2023-09-25,309.93,310.98,308.37,310.86,17836000
2023-09-26,308.50,309.23,303.50,305.57,26297600
2023-09-27,305.73,307.69,303.17,306.21,19410100
2023-09-28,304.44,308.84,302.94,307.04,19683600
