date,open,high,low,close,volume
2023-06-20,421.44,422.33,419.11,421.18,76160400
2023-06-21,420.20,421.00,418.43,419.02,76982300
2023-06-22,418.07,420.64,417.73,420.53,70637200
2023-06-23,417.08,419.14,416.64,417.35,92074500
2023-06-26,416.79,418.70,415.41,415.65,72823600
2023-06-27,416.53,420.82,416.07,420.21,72813700
2023-06-28,419.13,421.43,418.51,420.42,75636000
2023-06-29,420.00,422.24,419.60,422.07,67882300
2023-06-30,425.28,428.04,424.96,427.06,104964000
2023-07-03,426.71,427.83,426.43,427.55,32793400
2023-07-05,425.74,427.64,425.73,426.91,58418400
2023-07-06,423.34,423.99,421.06,423.57,80658300
2023-07-07,422.58,426.44,422.26,422.50,86134200
2023-07-10,422.14,423.74,421.57,423.57,62443500
2023-07-11,424.33,426.76,423.36,426.27,64463800
2023-07-12,430.05,431.10,428.63,429.70,91924500
2023-07-13,431.51,433.90,431.07,433.11,72425200
2023-07-14,433.99,434.84,432.07,432.84,69815800
2023-07-17,432.69,435.39,432.64,434.34,52680200
2023-07-18,434.01,438.21,433.58,437.57,80668200
2023-07-19,438.36,439.72,437.49,438.54,65891700
2023-07-20,437.55,438.44,434.92,435.63,70591600
2023-07-21,437.34,437.55,435.62,435.63,71275600
2023-07-24,436.78,438.38,435.75,437.58,54023400
2023-07-25,437.31,440.02,437.26,438.77,55191200
2023-07-26,437.84,440.26,436.79,438.84,71052900
2023-07-27,442.22,442.62,435.02,435.93,92194400
2023-07-28,439.19,441.02,435.93,440.20,80011800
2023-07-31,440.67,441.39,439.36,441.03,62040400
2023-08-01,439.57,440.51,438.82,439.77,55291500
2023-08-02,436.66,436.92,432.90,433.65,93933400
2023-08-03,431.64,434.29,431.00,432.41,64276100
2023-08-04,434.22,436.32,429.94,430.46,100128900
2023-08-07,432.29,434.37,431.59,434.21,58357500
2023-08-08,431.68,434.20,428.97,432.33,71361300
2023-08-09,432.59,432.76,428.67,429.43,78789600
2023-08-10,431.79,435.17,428.42,429.59,93005500
2023-08-11,427.72,430.35,427.12,429.34,68690900
2023-08-14,428.42,431.71,428.12,431.71,47867400
2023-08-15,429.94,430.29,426.11,426.68,75707500
2023-08-16,426.27,427.92,423.44,423.55,80107200
2023-08-17,425.01,425.27,419.80,420.32,95711300
2023-08-18,417.51,421.55,417.16,420.52,98852000
2023-08-21,421.54,424.00,419.39,423.26,68719000
2023-08-22,425.03,425.03,421.55,422.11,64994200
2023-08-23,423.17,427.43,423.03,426.81,68441000
2023-08-24,428.41,428.92,420.87,420.90,88517300
2023-08-25,422.62,425.15,419.08,423.87,102325100
2023-08-28,426.05,427.17,423.87,426.55,61595400
2023-08-29,426.45,433.00,426.27,432.72,83081900
2023-08-30,433.06,435.14,432.35,434.50,69053900
2023-08-31,435.12,436.26,433.68,433.87,66084600
2023-09-01,436.58,437.07,433.22,434.68,58944100
2023-09-05,434.23,434.55,432.73,432.80,55166200
2023-09-06,431.99,432.09,427.57,429.89,70758500
2023-09-07,426.89,429.24,426.54,428.57,70355400
2023-09-08,428.62,430.75,428.26,429.21,61659700
2023-09-11,431.83,432.34,430.13,432.04,60180100
2023-09-12,430.59,432.11,429.09,429.67,67565400
2023-09-13,429.89,431.32,428.79,430.17,60199300
2023-09-14,432.63,434.57,431.33,433.88,83430800
2023-09-15,432.29,432.62,428.21,428.65,111848900
2023-09-18,428.34,430.20,427.87,428.90,55752200
2023-09-19,427.98,428.57,425.33,428.01,66514600
2023-09-20,429.27,429.68,423.87,424.08,82562600
2023-09-21,421.23,421.49,416.91,417.07,104095800
2023-09-22,418.09,419.69,415.71,416.13,100829700
2023-09-25,414.92,417.92,414.49,417.88,70874500
2023-09-26,414.84,415.55,410.91,411.74,96168400
2023-09-27,412.91,413.47,408.27,411.90,104705800
2023-09-28,411.35,415.96,410.76,414.29,92258300
2023-09-29,417.34,417.51,411.77,413.29,115111300
2023-10-02,412.45,414.37,410.37,413.12,83798600
2023-10-03,410.95,413.18,406.23,407.59,103760600
2023-10-04,408.06,411.30,406.60,410.56,87453000
2023-10-05,410.27,411.25,407.19,410.41,70142700
2023-10-06,407.96,416.82,406.63,415.28,113273300
2023-10-09,413.38,418.51,412.83,417.94,80374400
2023-10-10,418.57,422.70,418.17,420.11,78607300
2023-10-11,421.18,422.08,418.80,421.83,62451700
2023-10-12,422.44,422.82,416.91,419.26,81154200
2023-10-13,420.76,421.96,415.61,417.17,95143100
2023-10-16,419.42,422.63,419.17,421.56,75433200
2023-10-17,418.44,423.59,418.09,421.54,75324700
2023-10-18,419.77,420.73,414.84,415.93,93559800
