date,open,high,low,close,volume
2023-06-20,91.09,91.58,91.09,91.27,17162900
2023-06-21,90.82,91.57,90.41,91.49,19720100
2023-06-22,90.82,91.21,90.29,90.38,23630700
2023-06-23,91.73,91.83,90.97,91.28,22901900
2023-06-26,91.54,91.70,91.13,91.38,12894900
2023-06-27,91.51,91.83,90.78,91.14,18105700
2023-06-28,91.35,91.73,90.84,91.53,23826800
2023-06-29,90.26,90.41,89.62,89.88,41091600
2023-06-30,90.16,91.05,89.99,90.94,32024900
2023-07-03,91.10,91.47,90.41,90.42,16011800
2023-07-05,90.26,90.35,89.24,89.56,28170300
2023-07-06,88.76,88.92,88.11,88.30,41375700
2023-07-07,87.85,88.23,87.69,87.77,28996500
2023-07-10,87.57,88.16,87.56,87.88,24665200
2023-07-11,88.20,88.55,87.95,88.33,20485500
2023-07-12,88.67,89.57,88.38,89.32,31928000
2023-07-13,89.74,90.33,89.49,90.26,32441500
2023-07-14,90.10,90.30,89.68,89.72,18569000
2023-07-17,89.67,89.90,89.40,89.77,18822000
2023-07-18,90.18,90.41,89.97,90.18,15407400
2023-07-19,90.35,91.22,90.11,91.19,27192500
2023-07-20,90.55,90.63,89.72,90.09,56951200
2023-07-21,90.49,90.66,90.03,90.11,20657500
2023-07-24,90.34,90.49,89.73,89.79,17546700
2023-07-25,89.32,89.91,89.29,89.62,17160600
2023-07-26,90.07,90.08,89.41,89.71,19310700
2023-07-27,89.21,89.41,87.62,87.96,44794400
2023-07-28,88.05,88.46,87.83,88.41,27434000
2023-07-31,88.27,88.87,88.24,88.63,28663800
2023-08-01,87.80,87.87,86.96,87.17,34943400
2023-08-02,86.20,86.37,85.64,86.24,38121300
2023-08-03,84.55,84.67,83.98,84.25,59394800
2023-08-04,84.52,85.88,84.50,85.74,42071800
2023-08-07,85.37,85.45,84.83,84.90,35862900
2023-08-08,86.04,86.49,85.66,85.89,24010500
2023-08-09,86.05,86.42,86.02,86.33,20151100
2023-08-10,86.20,86.48,84.91,84.91,37253200
2023-08-11,84.65,85.16,84.56,84.71,26753500
2023-08-14,84.57,85.21,84.30,84.53,19072000
